comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,1,0.5,0.5
0,0,0,1,-0.1,0.8
0,0,0,1,-0.2,0.4
0,0,0,1,0.0,0.0
0,0,0,1,0.5,0.6
1,1,1,1,0.4,0.8
0,0,0,1,0.239,0.461
3,3,3,1,0.0,0.0
0,0,0,1,0.5,0.475
0,0,0,1,0.7,0.7
0,0,0,1,0.122,0.247
1,1,1,1,0.0,0.0
0,0,0,1,0.255,0.797
0,0,0,1,0.0,0.0
0,0,0,1,-0.08,0.64
0,0,0,1,0.0,0.3
0,0,0,1,0.183,0.55
0,0,0,1,0.006,0.415
0,0,0,1,0.4,0.8
1,1,1,1,0.464,0.573
0,0,0,1,0.0,0.113
0,0,0,1,0.0,1.0
0,0,0,1,0.4,0.8
1,1,1,1,0.321,0.509
1,1,1,1,0.0,0.0
"","","",1,0.245,0.385
1,1,1,1,0.113,0.488
2,2,2,1,0.0,0.0
2,2,2,1,-0.043,0.449
0,0,0,1,0.0,0.0
0,0,0,1,-0.062,0.688
0,0,0,1,0.136,0.5
0,0,0,1,0.0,0.0
1,1,1,1,0.384,0.392
1,1,1,1,-0.35,0.833
0,0,0,1,0.0,0.0
0,0,0,1,-0.063,0.691
0,0,0,1,-0.333,0.667
0,0,0,1,0.0,1.0
0,0,0,1,-0.1,0.1
1,1,1,1,0.34,0.385
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
1,1,1,1,0.5,0.5
1,1,1,1,0.227,0.491
1,1,1,1,0.8,0.7
0,0,0,1,-0.6,0.9
8,8,8,1,0.1,0.383
0,0,0,1,0.0,0.0
0,0,0,1,0.167,0.467
0,0,0,1,0.024,0.201
0,0,0,1,0.0,0.0
0,0,0,1,0.116,0.5
4,4,4,1,-0.425,0.425
1,1,1,1,0.032,0.696
0,0,0,1,0.0,0.0
0,0,0,1,0.633,0.792
3,3,3,1,-0.25,0.808
0,0,0,1,0.092,0.755
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.05,0.75
0,0,0,1,0.1,1.0
0,0,0,1,0.0,0.375
0,0,0,1,0.0,0.0
0,0,0,1,0.2,0.3
3,3,3,1,0.115,0.296
0,0,0,1,0.1,0.15
0,0,0,1,-0.184,0.243
0,0,0,1,0.0,0.212
1,1,1,1,0.011,0.422
1,1,1,1,-0.117,0.6
0,0,0,1,0.19,0.32
0,0,0,1,0.0,0.0
0,0,0,1,-1.0,1.0
1,1,1,1,0.367,0.325
0,0,0,1,0.4,0.8
1,1,1,1,-0.1,0.1
0,0,0,1,0.137,0.415
1,1,1,1,-0.05,0.342
1,1,1,1,0.379,0.718
"","","",1,0.3,0.376
10,10,10,1,-0.126,0.42
3,3,3,1,-0.333,0.667
0,0,0,1,0.161,0.247
1,1,1,1,0.25,1.0
0,0,0,1,0.0,0.0
0,0,0,1,0.062,0.406
1,1,1,1,0.125,0.233
0,0,0,1,0.062,0.363
0,0,0,1,0.7,0.9
3,3,3,1,0.0,0.0
0,0,0,1,0.176,0.625
0,0,0,1,0.5,0.6
0,0,0,1,0.214,0.571
0,0,0,1,0.5,0.65
1,1,1,1,0.068,0.477
2,2,2,1,0.0,0.333
"","","",1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,1.0,0.3
0,0,0,1,0.0,0.0
1,1,1,1,-0.1,0.0
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.033,0.233
0,0,0,1,0.25,0.417
1,1,1,1,0.125,0.311
1,1,1,1,0.392,0.45
0,0,0,1,0.417,0.633
0,0,0,1,-0.069,0.557
1,1,1,1,0.25,0.392
12,12,12,1,-0.094,0.321
0,0,0,1,-0.25,0.25
5,5,5,1,0.1,0.1
1,1,1,1,0.273,0.275
1,1,1,1,-0.156,0.289
0,0,0,1,0.5,0.75
0,0,0,1,0.075,0.175
0,0,0,1,0.426,0.433
1,1,1,1,0.317,0.117
0,0,0,1,0.4,1.0
0,0,0,1,-0.089,0.172
3,3,3,1,-0.042,0.517
0,0,0,1,0.0,0.0
0,0,0,1,0.0,1.0
2,2,2,1,0.0,0.3
0,0,0,1,0.05,0.46
3,3,3,1,0.1,0.55
0,0,0,1,0.0,0.6
1,1,1,1,0.1,0.775
1,1,1,1,0.45,0.9
0,0,0,1,0.0,0.0
0,0,0,1,0.25,0.85
"","","",1,0.7,0.8
1,1,1,1,0.081,0.536
1,1,1,1,0.0,0.3
0,0,0,1,-0.396,0.775
0,0,0,1,0.4,0.8
0,0,0,1,0.375,0.575
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
1,1,1,1,-0.1,0.1
0,0,0,1,-0.26,0.76
0,0,0,1,0.0,0.0
0,0,0,1,0.0,1.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,1.0
2,2,2,1,-0.2,0.3
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
1,1,1,1,-0.05,0.4
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.367,0.233
0,0,0,1,-0.014,0.313
0,0,0,0,0.0,0.0
3,3,3,0,0.143,0.54
1,1,1,0,0.342,0.608
1,1,1,0,0.0,0.0
1,1,1,0,0.25,0.75
7,7,7,0,0.023,0.618
0,0,0,0,0.34,0.36
0,0,0,0,0.0,0.2
1,1,1,0,0.6,0.9
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.101,0.197
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,-0.15,0.6
2,2,2,0,0.183,0.413
0,0,0,0,-0.052,0.477
0,0,0,0,0.0,0.4
0,0,0,0,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.1,0.8
0,0,0,0,0.0,0.0
0,0,0,0,0.5,0.5
0,0,0,0,-0.1,0.8
0,0,0,0,-0.5,0.9
0,0,0,0,0.0,0.0
18,18,18,0,-0.036,0.257
0,0,0,0,0.35,1.0
0,0,0,0,0.1,1.0
0,0,0,0,0.0,0.0
1,1,1,0,-0.183,0.867
1,1,1,0,0.0,0.0
0,0,0,0,0.5,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.012,0.225
"","","",0,-0.25,0.25
0,0,0,0,0.194,0.233
0,0,0,0,0.0,0.0
0,0,0,0,0.0,1.0
0,0,0,0,0.133,0.367
0,0,0,0,-0.092,0.718
0,0,0,0,0.179,0.456
3,3,3,0,0.425,0.697
1,1,1,0,0.286,0.536
0,0,0,0,0.0,0.0
1,1,1,0,-0.025,0.485
0,0,0,0,-0.5,0.9
0,0,0,0,0.0,0.0
2,2,2,0,-0.044,0.232
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.344,0.578
3,3,3,0,-0.102,0.48
2,2,2,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.6,0.55
0,0,0,0,0.6,1.0
1,1,1,0,0.312,0.594
1,1,1,0,0.144,0.494
1,1,1,0,0.14,0.26
0,0,0,0,0.45,0.775
0,0,0,0,0.027,0.569
0,0,0,0,0.0,1.0
0,0,0,0,-0.312,0.75
0,0,0,0,-0.2,0.1
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
1,1,1,0,0.625,0.775
4,4,4,0,0.0,0.0
0,0,0,0,0.5,0.5
0,0,0,0,0.5,0.5
3,3,3,0,0.2,0.3
0,0,0,0,0.022,0.344
0,0,0,0,0.068,0.368
"","","",0,0.168,0.377
0,0,0,0,0.133,0.7
1,1,1,0,0.198,0.416
0,0,0,0,0.375,0.404
0,0,0,0,0.214,0.643
0,0,0,0,0.18,0.54
0,0,0,0,0.133,0.7
0,0,0,0,0.133,0.7
0,0,0,0,0.012,0.275
0,0,0,0,-0.3,0.6
0,0,0,0,0.217,0.6
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.19,0.531
0,0,0,0,0.318,0.477
1,1,1,0,0.6,0.3
0,0,0,0,-0.175,0.442
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.083
1,1,1,0,-0.25,0.625
0,0,0,0,0.204,0.393
0,0,0,0,0.28,0.66
1,1,1,0,0.0,0.0
0,0,0,0,1.0,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.158,0.461
1,1,1,0,-0.026,0.431
1,1,1,0,0.0,0.1
0,0,0,0,0.25,0.25
2,2,2,0,0.0,0.45
7,7,7,0,0.333,0.183
0,0,0,0,0.0,1.0
0,0,0,0,0.361,0.547
"","","",0,-0.3,0.8
12,12,12,0,0.0,0.0
0,0,0,0,0.3,0.1
1,1,1,0,-0.062,0.188
0,0,0,0,0.4,0.4
3,3,3,0,0.062,0.562
1,1,1,0,0.75,0.75
0,0,0,0,0.025,0.275
0,0,0,0,0.0,0.0
0,0,0,0,-0.089,0.389
0,0,0,0,0.0,0.75
1,1,1,0,-0.237,0.525
1,1,1,0,0.1,0.4
0,0,0,0,0.0,0.0
0,0,0,0,0.111,0.26
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.179,0.792
1,1,1,0,0.129,0.408
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
1,1,1,0,0.0,0.067
0,0,0,0,0.464,0.723
2,2,2,0,-0.087,0.388
0,0,0,0,0.0,0.0
8,8,8,0,0.617,0.783
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.357
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.207,0.314
0,0,0,0,0.0,0.0
0,0,0,0,0.25,0.85
0,0,0,0,0.5,0.5
1,1,1,0,0.8,0.75
0,0,0,0,-0.4,0.725
0,0,0,0,0.0,1.0
0,0,0,0,0.212,0.318
0,0,0,0,0.189,0.65
1,1,1,0,0.0,0.0
0,0,0,0,0.433,0.783
2,2,2,0,0.2,0.667
0,0,0,0,-0.3,0.4
0,0,0,0,0.5,0.5
1,1,1,0,-0.8,0.8
0,0,0,0,0.0,0.0
0,0,0,0,0.367,0.5
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.16,0.668
0,0,0,0,-0.1,0.8
"","","",0,-0.052,0.452
1,1,1,0,0.133,0.342
5,5,5,0,0.375,0.75
0,0,0,0,-0.05,0.3
2,2,2,0,0.367,0.7
0,0,0,0,0.0,0.2
16,16,16,0,0.145,0.287
1,1,1,0,0.75,0.45
0,0,0,0,0.625,1.0
2,2,2,0,-0.083,0.233
0,0,0,0,0.0,0.3
0,0,0,0,0.5,0.9
"","","",0,0.5,0.5
1,1,1,0,0.0,0.5
0,0,0,0,0.0,0.3
0,0,0,0,0.54,0.564
1,1,1,0,-0.4,0.6
1,1,1,0,0.163,0.337
0,0,0,0,0.25,0.2
1,1,1,0,0.15,0.275
2,2,2,0,0.35,0.65
"","","",0,0.238,0.592
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,-0.025,0.125
1,1,1,0,0.4,0.5
1,1,1,0,0.046,0.412
0,0,0,0,0.143,0.268
0,0,0,0,0.0,0.0
2,2,2,0,0.0,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.25,1.0
0,0,0,0,-0.1,1.0
0,0,0,0,-0.1,0.4
4,4,4,0,0.0,0.0
0,0,0,0,0.15,0.4
2,2,2,0,0.365,0.643
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
"","","",0,0.3,0.6
1,1,1,0,0.5,0.5
15,15,15,0,-0.333,0.667
0,0,0,0,0.26,0.405
0,0,0,0,0.0,0.0
0,0,0,0,0.028,0.167
1,1,1,0,0.7,0.9
0,0,0,0,0.5,0.5
0,0,0,0,-0.067,0.6
1,1,1,0,0.0,0.0
0,0,0,0,0.067,0.167
2,2,2,0,-0.362,0.65
0,0,0,0,0.0,0.0
1,1,1,0,0.143,0.418
0,0,0,0,-0.05,0.167
0,0,0,0,0.0,0.397
1,1,1,0,0.5,0.5
3,3,3,0,0.5,0.5
0,0,0,0,0.4,0.5
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.114,0.273
0,0,0,0,0.9,1.0
0,0,0,0,0.125,0.425
1,1,1,0,-0.302,0.246
0,0,0,0,0.16,0.54
0,0,0,0,0.319,0.394
0,0,0,0,0.233,0.183
1,1,1,0,0.0,0.0
0,0,0,0,0.5,1.0
0,0,0,0,0.125,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.067
0,0,0,0,-0.5,1.0
0,0,0,0,0.4,0.8
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,0,0.356,0.389
0,0,0,0,-0.1,0.5
1,1,1,0,0.167,0.417
0,0,0,0,0.1,0.6
0,0,0,0,0.5,0.5
0,0,0,0,0.7,0.6
0,0,0,0,-0.067,0.133
0,0,0,0,0.0,0.0
0,0,0,0,0.286,0.536
0,0,0,0,0.381,0.675
0,0,0,0,-0.5,1.0
0,0,0,0,0.0,0.067
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
3,3,3,0,0.0,0.3
0,0,0,0,0.0,0.0
1,1,1,0,-0.6,0.833
