comment_num,retweet_num,like_num,Trend,polarity,subjectivity
9,9,9,1,0.0,0.0
1,1,1,1,-0.454,0.717
1,1,1,1,-0.267,0.378
0,0,0,1,0.1,0.6
26,26,26,1,0.0,0.0
0,0,0,1,0.171,0.433
0,0,0,1,-0.5,0.633
0,0,0,1,0.4,0.8
1,1,1,1,0.417,0.611
0,0,0,1,-0.005,0.659
1,1,1,1,-0.067,0.207
0,0,0,1,0.35,0.544
1,1,1,1,0.454,0.55
0,0,0,1,0.0,0.0
0,0,0,1,-0.043,0.448
2,2,2,1,0.367,0.533
1,1,1,1,0.136,0.455
0,0,0,1,0.0,0.4
1,1,1,1,0.0,0.0
1,1,1,1,0.05,0.55
6,6,6,1,0.0,0.0
0,0,0,1,0.2,0.4
1,1,1,1,0.217,0.545
0,0,0,1,-0.046,0.608
1,1,1,1,0.0,0.0
0,0,0,1,0.35,0.65
0,0,0,1,0.0,0.0
0,0,0,1,0.4,0.4
0,0,0,1,0.0,0.0
3,3,3,1,0.167,0.717
0,0,0,1,-0.133,0.6
0,0,0,1,0.172,0.394
7,7,7,1,0.0,0.0
0,0,0,1,0.191,0.55
0,0,0,1,0.0,0.0
2,2,2,1,0.2,0.383
6,6,6,1,0.0,0.0
1,1,1,1,0.2,0.2
0,0,0,1,0.0,0.0
0,0,0,1,0.2,0.2
0,0,0,1,0.8,0.7
1,1,1,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
1,1,1,1,0.1,0.492
0,0,0,1,0.2,0.5
0,0,0,1,0.0,0.5
0,0,0,1,0.417,0.5
23,23,23,1,0.0,0.275
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
2,2,2,1,-0.4,0.45
1,1,1,1,-0.4,0.65
2,2,2,1,0.175,0.65
0,0,0,1,0.0,0.1
0,0,0,1,0.6,0.9
0,0,0,1,-0.195,0.607
0,0,0,1,-0.8,0.8
0,0,0,1,0.0,0.0
0,0,0,1,0.275,0.5
0,0,0,1,0.45,0.45
0,0,0,1,0.0,0.0
1,1,1,1,0.45,0.475
0,0,0,1,0.055,0.485
2,2,2,1,0.5,0.5
1,1,1,1,0.136,0.5
0,0,0,1,0.0,0.0
2,2,2,1,0.136,0.455
0,0,0,1,-0.4,0.6
0,0,0,1,0.0,0.125
0,0,0,1,0.09,0.401
0,0,0,1,0.0,0.0
0,0,0,1,0.136,0.5
0,0,0,1,0.01,0.327
1,1,1,1,-0.078,0.244
0,0,0,1,0.0,0.0
0,0,0,1,-0.167,0.333
0,0,0,1,0.069,0.644
0,0,0,1,0.0,0.0
1,1,1,1,0.069,0.306
0,0,0,1,-0.3,0.3
3,3,3,1,0.273,0.317
1,1,1,1,0.0,0.25
0,0,0,1,0.133,0.6
1,1,1,1,0.286,0.536
4,4,4,1,0.0,0.033
1,1,1,1,0.5,0.5
25,25,25,1,0.033,0.322
2,2,2,1,0.0,0.125
0,0,0,1,-0.2,0.2
0,0,0,1,0.0,0.3
0,0,0,1,0.0,0.0
2,2,2,1,0.05,0.4
0,0,0,1,0.0,0.0
1,1,1,1,0.6,0.55
0,0,0,1,0.15,1.0
1,1,1,1,0.4,0.4
0,0,0,1,-0.6,1.0
1,1,1,1,-0.219,0.75
0,0,0,1,0.0,0.0
"","","",1,0.0,0.113
0,0,0,1,0.0,0.0
0,0,0,1,-0.1,0.8
0,0,0,1,0.25,0.4
0,0,0,1,0.0,0.125
2,2,2,1,0.6,0.95
0,0,0,1,0.053,0.38
2,2,2,1,0.2,0.7
0,0,0,1,-0.204,0.662
1,1,1,1,0.0,0.0
"","","",1,0.225,0.5
0,0,0,1,-0.125,0.367
0,0,0,1,0.0,0.0
3,3,3,1,0.0,0.062
0,0,0,1,0.045,0.185
1,1,1,1,0.0,0.0
0,0,0,1,0.5,0.5
0,0,0,1,0.237,0.325
1,1,1,1,-0.042,0.725
0,0,0,1,0.0,0.0
3,3,3,1,0.0,0.0
0,0,0,1,0.3,0.5
0,0,0,1,-0.1,0.7
0,0,0,1,0.233,0.356
0,0,0,1,0.0,0.0
0,0,0,1,0.5,0.889
0,0,0,1,0.54,0.564
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,-0.087,0.438
0,0,0,1,0.0,0.125
1,1,1,1,0.0,0.229
1,1,1,1,-0.292,0.542
"","","",1,0.17,0.581
0,0,0,1,0.325,0.517
