comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,1,0.417,0.5
6,6,6,1,0.375,0.875
24,24,24,1,0.4,0.767
0,0,0,1,0.0,0.0
1,1,1,1,0.095,0.645
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.167,0.606
0,0,0,1,-0.3,0.4
2,2,2,1,0.0,0.0
0,0,0,1,0.236,0.579
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
1,1,1,1,0.159,0.426
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.5,1.0
1,1,1,1,0.053,0.18
25,25,25,1,0.0,0.0
"","","",1,0.25,0.85
0,0,0,1,-0.25,0.4
1,1,1,1,0.382,0.66
1,1,1,1,-0.016,0.679
0,0,0,1,0.25,0.4
1,1,1,1,-0.05,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.5,0.6
"","","",1,0.247,0.343
1,1,1,1,0.5,0.5
10,10,10,1,0.033,0.067
0,0,0,1,0.0,0.0
0,0,0,1,0.128,0.411
1,1,1,1,0.0,0.0
0,0,0,1,-0.087,0.375
0,0,0,1,-0.5,1.0
0,0,0,1,0.0,0.0
0,0,0,1,0.062,0.312
0,0,0,1,0.0,0.0
4,4,4,1,0.75,0.4
0,0,0,1,0.0,0.0
0,0,0,1,-0.048,0.47
1,1,1,1,0.1,0.283
0,0,0,1,-0.333,1.0
0,0,0,1,0.2,0.2
0,0,0,1,-0.025,0.575
0,0,0,1,-0.038,0.285
0,0,0,1,0.206,0.473
0,0,0,1,0.045,0.491
0,0,0,1,0.0,0.533
2,2,2,1,-0.133,0.333
1,1,1,1,0.0,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.25,0.333
0,0,0,1,0.4,0.8
0,0,0,1,0.0,0.0
0,0,0,1,-0.183,0.4
0,0,0,1,0.075,0.278
3,3,3,1,0.289,0.552
0,0,0,1,0.7,0.6
0,0,0,1,0.312,0.25
0,0,0,1,-0.1,0.4
2,2,2,1,0.2,0.354
2,2,2,1,0.5,1.0
1,1,1,1,0.0,0.0
0,0,0,1,0.16,0.54
2,2,2,1,0.0,0.3
0,0,0,1,-0.1,0.8
0,0,0,1,0.167,0.5
1,1,1,1,0.275,0.471
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.45,0.65
0,0,0,1,0.8,0.75
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.3
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,-0.5,0.65
1,1,1,1,0.0,0.067
7,7,7,1,0.071,0.265
3,3,3,1,0.05,0.65
1,1,1,1,0.0,0.15
2,2,2,1,0.0,0.0
0,0,0,1,0.45,0.65
1,1,1,1,-0.938,1.0
0,0,0,1,-0.219,0.536
0,0,0,1,0.0,0.3
0,0,0,1,0.035,0.392
0,0,0,1,0.153,0.514
0,0,0,1,0.0,0.0
0,0,0,1,-0.082,0.427
0,0,0,1,-0.158,0.525
1,1,1,1,-0.417,0.7
1,1,1,1,0.0,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.4,0.5
0,0,0,1,0.5,0.5
0,0,0,1,0.25,0.5
2,2,2,1,0.0,0.0
1,1,1,1,0.098,0.419
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.4,0.9
0,0,0,1,0.05,0.25
1,1,1,1,0.0,0.0
1,1,1,1,0.5,0.5
1,1,1,1,0.0,0.0
1,1,1,1,0.129,0.485
2,2,2,1,-0.025,0.425
2,2,2,1,0.5,0.75
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,-0.156,0.289
1,1,1,1,0.0,0.0
0,0,0,1,0.286,0.536
0,0,0,1,0.4,0.4
0,0,0,1,-0.7,0.667
1,1,1,1,0.143,0.768
0,0,0,1,0.0,0.0
0,0,0,1,0.025,0.547
1,1,1,1,-0.125,1.0
6,6,6,1,0.137,0.425
0,0,0,1,0.25,0.25
1,1,1,1,0.2,0.2
0,0,0,1,-0.3,0.338
0,0,0,1,0.062,0.95
1,1,1,1,0.375,0.675
0,0,0,1,-0.1,0.8
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
2,2,2,1,0.0,0.0
2,2,2,1,0.1,0.45
1,1,1,1,0.8,1.0
0,0,0,1,-0.0,0.267
3,3,3,1,-0.167,0.067
1,1,1,1,0.217,0.718
0,0,0,1,0.25,0.25
0,0,0,1,-0.043,0.213
7,7,7,1,0.025,0.533
0,0,0,1,0.25,0.45
0,0,0,1,0.0,0.0
0,0,0,1,0.358,0.514
0,0,0,1,0.0,0.0
"","","",1,0.3,0.567
0,0,0,1,0.0,0.0
0,0,0,1,0.075,0.6
0,0,0,1,0.75,0.4
1,1,1,1,0.24,0.558
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.0,0.575
2,2,2,1,-0.1,0.5
1,1,1,0,-0.125,0.125
0,0,0,0,-0.4,0.6
0,0,0,0,0.0,0.0
0,0,0,0,-0.1,0.2
2,2,2,0,0.069,0.778
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.3
0,0,0,0,0.0,0.0
0,0,0,0,0.025,0.225
0,0,0,0,0.2,1.0
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
1,1,1,0,-0.35,0.333
1,1,1,0,0.0,0.3
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
