comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,0,0.225,0.596
2,2,2,0,0.0,0.0
0,0,0,0,-0.1,0.025
0,0,0,0,0.375,0.75
0,0,0,0,-0.025,0.475
1,1,1,0,0.333,0.6
0,0,0,0,0.0,0.0
8,8,8,0,0.0,0.1
0,0,0,0,0.05,0.5
0,0,0,0,0.5,0.5
1,1,1,0,0.0,0.0
0,0,0,0,0.133,0.7
1,1,1,0,0.0,0.0
3,3,3,0,0.35,0.4
0,0,0,0,-0.4,0.4
1,1,1,0,-0.097,0.514
4,4,4,0,0.0,0.0
"","","",0,0.25,0.333
0,0,0,0,0.225,0.375
0,0,0,0,0.1,0.8
2,2,2,0,-0.025,0.7
0,0,0,0,0.0,0.0
0,0,0,0,0.133,0.7
0,0,0,0,0.4,0.8
0,0,0,0,0.042,0.542
3,3,3,0,0.386,0.496
3,3,3,0,0.0,0.5
0,0,0,0,0.294,0.439
0,0,0,0,0.0,0.0
0,0,0,0,0.033,0.567
0,0,0,0,0.15,0.4
0,0,0,0,0.0,1.0
0,0,0,0,-0.167,0.333
2,2,2,0,0.412,0.631
4,4,4,0,0.136,0.455
0,0,0,0,0.5,0.5
0,0,0,0,0.8,0.75
4,4,4,0,0.15,0.35
0,0,0,0,-0.167,0.333
2,2,2,0,0.286,0.536
2,2,2,0,-0.078,0.644
"","","",0,0.0,0.0
0,0,0,0,0.25,0.25
1,1,1,0,-0.065,0.335
0,0,0,0,-0.156,0.6
0,0,0,0,0.325,0.8
0,0,0,0,-0.125,0.175
0,0,0,0,0.1,0.4
0,0,0,0,0.24,0.78
0,0,0,0,0.0,0.125
6,6,6,0,-0.1,0.467
1,1,1,0,0.0,0.3
0,0,0,0,0.1,0.35
0,0,0,0,0.271,0.542
16,16,16,0,0.3,0.1
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
6,6,6,0,0.0,0.0
0,0,0,0,-0.348,0.635
0,0,0,0,0.0,0.0
0,0,0,0,0.189,0.589
0,0,0,0,-0.025,0.35
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.15,0.335
0,0,0,0,0.0,0.062
0,0,0,0,0.5,0.8
"","","",0,0.0,0.0
0,0,0,0,-0.033,0.271
0,0,0,0,0.219,0.581
1,1,1,0,0.0,0.1
0,0,0,0,0.0,0.0
0,0,0,0,-0.083,0.567
0,0,0,0,0.4,0.8
0,0,0,0,0.0,0.39
0,0,0,0,0.0,0.3
0,0,0,0,0.1,0.25
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
2,2,2,0,0.4,0.75
0,0,0,0,0.161,0.337
0,0,0,0,0.08,0.32
0,0,0,0,0.0,0.0
1,1,1,0,0.125,0.47
0,0,0,0,-0.163,0.75
2,2,2,0,0.0,0.418
0,0,0,0,0.0,0.0
0,0,0,0,0.439,0.386
0,0,0,0,0.85,0.8
0,0,0,0,0.0,0.0
"","","",0,0.313,0.633
0,0,0,0,-0.267,0.458
0,0,0,0,0.233,0.342
0,0,0,0,0.194,0.428
2,2,2,0,-0.6,0.9
0,0,0,0,-0.2,0.1
0,0,0,0,-0.188,0.417
0,0,0,0,0.136,0.455
1,1,1,0,-0.312,0.25
1,1,1,0,-0.6,0.783
0,0,0,0,-0.5,0.7
1,1,1,0,0.7,0.5
1,1,1,0,-0.125,0.5
1,1,1,0,-0.3,0.45
0,0,0,0,0.0,0.096
1,1,1,0,0.05,0.15
3,3,3,0,0.0,0.0
1,1,1,0,0.352,0.378
1,1,1,0,0.0,0.0
1,1,1,0,0.067,0.3
1,1,1,0,0.0,0.3
0,0,0,0,0.208,0.3
0,0,0,0,-0.025,0.594
0,0,0,0,-0.1,0.8
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.05,0.783
0,0,0,0,0.0,0.0
0,0,0,0,-0.1,0.1
0,0,0,0,-0.5,0.5
0,0,0,0,0.0,0.25
1,1,1,0,0.359,0.875
0,0,0,0,0.0,0.7
0,0,0,0,0.0,0.0
1,1,1,0,0.018,0.457
0,0,0,0,0.221,0.765
1,1,1,0,-0.021,0.646
0,0,0,0,0.5,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.756
0,0,0,0,0.0,0.65
1,1,1,0,0.131,0.473
0,0,0,0,0.069,0.383
0,0,0,0,0.177,0.34
"","","",0,0.286,0.536
3,3,3,0,0.5,0.342
8,8,8,0,0.083,0.133
1,1,1,0,0.5,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.186,0.463
0,0,0,0,0.5,0.5
