comment_num,retweet_num,like_num,Trend,polarity,subjectivity
1,1,1,0,0.217,0.381
0,0,0,0,0.0,0.0
0,0,0,0,0.433,0.733
0,0,0,0,0.0,0.133
1,1,1,0,0.137,0.444
0,0,0,0,-0.124,0.314
0,0,0,0,0.2,0.9
0,0,0,0,0.6,0.95
0,0,0,0,0.0,0.0
2,2,2,0,0.045,0.417
"","","",0,0.1,0.475
1,1,1,0,0.394,0.667
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.3
"","","",0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.8,0.7
0,0,0,0,0.138,0.42
0,0,0,0,-0.3,0.8
0,0,0,0,0.0,0.0
0,0,0,0,0.533,0.633
1,1,1,0,0.45,0.6
1,1,1,0,0.5,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.204,0.417
0,0,0,0,0.133,0.7
0,0,0,0,0.025,0.425
0,0,0,0,-0.1,0.1
0,0,0,0,0.5,0.5
0,0,0,0,0.0,0.0
2,2,2,0,0.0,0.0
0,0,0,0,0.4,0.8
10,10,10,0,0.017,0.067
0,0,0,0,-0.1,0.35
1,1,1,0,0.133,0.833
0,0,0,0,0.1,0.463
0,0,0,0,0.7,0.6
0,0,0,0,0.287,0.575
0,0,0,0,0.2,0.4
1,1,1,0,0.136,0.455
0,0,0,0,0.25,0.3
0,0,0,0,0.2,0.4
0,0,0,0,0.033,0.278
0,0,0,0,0.533,0.633
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,-0.137,0.296
2,2,2,0,0.0,0.0
31,31,31,0,0.0,0.0
0,0,0,0,0.15,0.833
0,0,0,0,0.096,0.529
0,0,0,0,0.5,1.0
0,0,0,0,0.0,0.0
1,1,1,0,-0.3,0.3
13,13,13,0,0.0,0.1
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
3,3,3,0,0.641,0.75
4,4,4,0,0.0,0.5
0,0,0,0,0.425,0.642
1,1,1,0,0.2,0.2
1,1,1,0,0.113,1.0
"","","",0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.235,0.561
0,0,0,0,0.217,0.567
1,1,1,0,-0.7,0.667
2,2,2,0,0.0,0.0
1,1,1,0,0.0,1.0
1,1,1,0,0.167,0.267
1,1,1,0,0.0,0.0
0,0,0,0,-1.0,1.0
0,0,0,0,-0.1,0.0
0,0,0,0,0.065,0.465
2,2,2,0,-0.095,0.503
0,0,0,0,-0.133,0.233
0,0,0,0,0.25,0.75
0,0,0,0,-0.4,0.6
0,0,0,0,0.2,0.2
1,1,1,0,-0.092,0.958
1,1,1,0,0.277,0.477
9,9,9,0,-0.078,0.178
1,1,1,0,0.042,0.333
0,0,0,0,0.105,0.33
0,0,0,0,0.0,0.0
0,0,0,0,0.5,0.5
2,2,2,0,0.4,0.689
0,0,0,0,0.135,0.205
1,1,1,0,-0.2,0.8
0,0,0,0,0.144,0.419
2,2,2,0,0.011,0.164
0,0,0,0,0.0,0.0
0,0,0,0,0.133,0.6
1,1,1,0,0.118,0.469
1,1,1,0,0.0,0.0
1,1,1,0,-0.1,0.283
0,0,0,0,-0.167,0.333
1,1,1,0,0.313,0.411
6,6,6,0,0.25,0.5
2,2,2,0,0.0,0.0
1,1,1,0,-0.1,0.1
0,0,0,0,0.5,0.35
1,1,1,0,0.0,0.0
1,1,1,0,-0.406,0.88
"","","",0,0.0,0.3
0,0,0,0,-0.25,0.775
0,0,0,0,0.237,0.342
0,0,0,0,-0.525,0.75
6,6,6,0,0.0,0.0
1,1,1,0,0.15,0.65
0,0,0,0,-1.0,1.0
0,0,0,0,0.0,0.3
1,1,1,0,-0.6,0.9
1,1,1,0,0.5,0.5
1,1,1,0,-0.029,0.349
7,7,7,0,-0.156,0.289
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.5,0.9
1,1,1,0,0.375,0.75
3,3,3,0,0.348,0.75
