comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,0,-0.35,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,0,0.047,0.562
0,0,0,0,-0.312,0.85
0,0,0,0,0.0,0.0
0,0,0,0,-0.2,0.367
4,4,4,0,-0.125,0.312
0,0,0,0,0.0,0.0
1,1,1,0,0.25,0.85
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.28,0.54
0,0,0,0,0.0,0.3
0,0,0,0,0.0,0.0
0,0,0,0,0.25,0.25
1,1,1,0,0.0,0.0
3,3,3,0,-0.3,0.4
2,2,2,0,0.0,0.125
1,1,1,0,0.083,0.5
0,0,0,0,0.225,0.45
1,1,1,0,0.0,0.0
0,0,0,0,0.05,0.111
1,1,1,0,0.0,0.0
0,0,0,0,0.4,0.8
1,1,1,0,0.5,0.75
0,0,0,0,0.0,0.0
4,4,4,0,-0.232,0.529
2,2,2,0,0.0,0.0
1,1,1,0,0.367,0.667
1,1,1,0,0.0,0.0
0,0,0,0,0.017,0.033
0,0,0,0,0.175,0.425
2,2,2,0,-0.133,0.667
1,1,1,0,-0.1,0.467
1,1,1,0,0.111,0.599
0,0,0,0,0.0,0.0
0,0,0,0,0.375,0.75
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.04,0.32
0,0,0,0,0.079,0.658
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
3,3,3,0,0.0,0.0
0,0,0,0,-0.15,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.5,0.267
6,6,6,0,-0.078,0.394
0,0,0,0,0.0,0.067
0,0,0,0,0.0,0.1
4,4,4,0,0.0,0.733
0,0,0,0,0.4,0.8
0,0,0,0,0.0,0.0
"","","",0,0.19,0.416
0,0,0,0,0.0,0.0
2,2,2,0,0.133,0.381
1,1,1,0,0.04,0.571
1,1,1,0,-0.105,0.333
1,1,1,0,0.367,0.633
0,0,0,0,0.0,0.0
4,4,4,0,-0.089,0.297
0,0,0,0,0.2,0.4
1,1,1,0,0.0,0.0
1,1,1,0,0.5,1.0
0,0,0,0,0.175,0.75
0,0,0,0,0.172,0.394
2,2,2,0,-0.25,0.65
0,0,0,0,0.0,0.0
2,2,2,0,-0.133,0.6
0,0,0,0,-0.1,0.6
3,3,3,0,0.7,0.6
1,1,1,0,0.2,0.9
2,2,2,0,0.5,0.5
0,0,0,0,-0.05,0.0
0,0,0,0,0.0,0.0
3,3,3,0,0.2,0.2
0,0,0,0,0.0,0.0
1,1,1,0,-0.4,0.6
0,0,0,0,0.0,0.0
0,0,0,0,-0.4,0.6
0,0,0,0,0.0,0.0
0,0,0,0,0.005,0.49
0,0,0,0,0.167,0.467
0,0,0,0,-0.057,0.468
0,0,0,0,0.0,0.125
0,0,0,0,0.0,0.0
0,0,0,0,0.425,0.875
0,0,0,0,-0.179,0.286
0,0,0,0,-0.058,0.848
2,2,2,0,-0.183,0.283
0,0,0,0,0.0,0.0
2,2,2,0,0.018,0.342
1,1,1,0,0.7,0.1
0,0,0,0,1.0,1.0
"","","",0,0.0,0.125
3,3,3,0,0.3,0.2
1,1,1,0,0.0,0.0
1,1,1,0,1.0,0.7
0,0,0,0,0.4,0.525
1,1,1,0,0.0,0.067
0,0,0,0,-0.225,0.4
2,2,2,0,-0.046,0.402
0,0,0,0,-0.033,0.55
0,0,0,0,0.068,0.227
1,1,1,0,-0.213,0.642
4,4,4,0,0.0,0.0
0,0,0,0,-0.2,0.4
0,0,0,0,0.058,0.125
3,3,3,0,0.07,0.7
10,10,10,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.05,0.4
26,26,26,0,0.0,0.0
0,0,0,0,0.039,0.487
1,1,1,0,0.0,0.0
0,0,0,0,0.0,1.0
0,0,0,0,0.5,0.5
1,1,1,0,0.038,0.45
1,1,1,0,-0.4,0.6
0,0,0,0,0.4,0.8
0,0,0,0,-0.25,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.167,0.533
0,0,0,0,0.0,0.125
0,0,0,0,0.25,0.75
0,0,0,0,0.0,0.0
0,0,0,0,-0.095,0.524
4,4,4,0,0.186,0.599
0,0,0,0,0.7,0.6
0,0,0,0,0.6,0.75
1,1,1,0,0.194,0.3
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,-0.2,0.45
2,2,2,0,0.0,0.5
0,0,0,0,0.483,0.533
0,0,0,0,0.5,0.5
0,0,0,0,-0.2,0.1
2,2,2,0,0.75,0.4
1,1,1,0,0.0,0.0
0,0,0,0,0.6,0.75
1,1,1,0,0.0,0.0
0,0,0,0,-0.067,0.667
0,0,0,0,-0.167,0.333
6,6,6,0,0.0,0.0
0,0,0,0,0.028,0.431
2,2,2,0,0.0,0.0
1,1,1,0,-0.037,0.688
1,1,1,0,-0.3,0.5
0,0,0,0,-0.167,0.067
0,0,0,0,0.0,0.0
0,0,0,0,0.08,0.457
0,0,0,0,0.136,0.455
0,0,0,0,-0.073,0.68
0,0,0,0,0.5,0.55
1,1,1,0,0.011,0.189
0,0,0,0,0.338,0.412
1,1,1,0,0.0,0.0
2,2,2,0,0.156,0.424
0,0,0,0,0.167,0.413
1,1,1,0,-0.275,0.9
0,0,0,0,-0.5,1.0
0,0,0,0,0.274,0.583
0,0,0,0,0.8,0.9
17,17,17,0,0.0,0.0
1,1,1,0,0.087,0.481
0,0,0,0,-0.15,0.2
0,0,0,0,0.3,0.456
0,0,0,0,0.1,0.2
0,0,0,0,-0.033,0.367
0,0,0,0,0.2,0.4
0,0,0,0,0.4,0.8
3,3,3,0,0.0,0.0
2,2,2,0,0.375,0.508
0,0,0,0,0.0,0.5
0,0,0,0,-0.031,0.844
1,1,1,0,0.0,0.0
1,1,1,0,-0.333,0.533
0,0,0,0,0.0,0.0
2,2,2,0,-0.003,0.389
1,1,1,0,0.5,1.0
0,0,0,0,0.455,0.7
0,0,0,0,0.283,0.583
0,0,0,0,0.011,0.2
1,1,1,0,0.35,0.65
1,1,1,0,0.286,0.536
0,0,0,0,0.431,0.825
0,0,0,0,0.0,0.0
4,4,4,0,0.31,0.72
0,0,0,0,0.0,0.0
0,0,0,0,0.2,0.5
0,0,0,0,0.0,0.0
3,3,3,0,0.25,0.438
0,0,0,0,-0.112,0.55
0,0,0,0,0.0,0.0
1,1,1,0,-0.298,0.647
1,1,1,0,0.5,0.5
4,4,4,0,0.094,0.498
0,0,0,0,0.35,0.35
2,2,2,0,0.0,0.0
"","","",0,0.125,0.525
0,0,0,0,0.0,0.3
