comment_num,retweet_num,like_num,Trend,polarity,subjectivity
1,1,1,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,0.35,0.4
2,2,2,0,0.0,0.3
0,0,0,0,0.143,0.418
0,0,0,0,-0.25,1.0
0,0,0,0,0.0,0.0
1,1,1,0,0.162,0.551
1,1,1,0,0.567,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,0,0.275,0.513
0,0,0,0,0.55,0.75
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.5,1.0
0,0,0,0,0.625,0.5
0,0,0,0,0.35,0.65
0,0,0,0,-0.042,0.5
0,0,0,0,0.38,0.46
1,1,1,0,0.111,0.308
9,9,9,0,0.2,0.34
5,5,5,0,0.5,0.5
0,0,0,0,-0.1,0.292
1,1,1,0,-0.3,0.6
3,3,3,0,0.0,0.0
1,1,1,0,0.5,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.25
0,0,0,0,0.375,0.75
1,1,1,0,0.417,0.583
5,5,5,0,-0.35,0.425
5,5,5,0,0.0,0.0
2,2,2,0,0.113,0.346
1,1,1,0,0.0,0.0
0,0,0,0,0.25,0.333
0,0,0,0,-0.058,0.443
2,2,2,0,0.25,0.5
0,0,0,0,0.258,0.442
0,0,0,0,0.45,0.7
0,0,0,0,0.8,0.7
0,0,0,0,0.2,0.7
0,0,0,0,0.5,0.6
1,1,1,0,0.0,0.0
"","","",0,0.6,1.0
0,0,0,0,0.533,0.633
1,1,1,0,-0.064,0.408
0,0,0,0,0.2,0.2
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.2
0,0,0,0,0.225,0.425
1,1,1,0,-0.25,0.5
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,0,0.214,0.643
1,1,1,0,-0.3,0.4
1,1,1,0,-0.267,0.4
0,0,0,0,-0.05,0.4
0,0,0,0,0.0,0.0
2,2,2,0,-0.7,0.667
1,1,1,0,0.38,0.445
0,0,0,0,0.354,0.608
1,1,1,0,0.0,0.0
0,0,0,0,0.1,0.3
1,1,1,0,0.233,0.5
1,1,1,0,-0.2,0.3
1,1,1,0,1.0,1.0
1,1,1,0,0.088,0.488
0,0,0,0,0.0,0.0
0,0,0,0,0.6,0.9
"","","",0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
3,3,3,0,0.2,0.2
0,0,0,0,0.14,0.16
0,0,0,0,0.0,0.0
"","","",0,0.6,0.9
0,0,0,0,0.167,0.333
1,1,1,0,0.23,0.573
0,0,0,0,-0.033,0.31
0,0,0,0,-0.037,0.362
1,1,1,0,0.3,1.0
0,0,0,0,-0.15,0.4
0,0,0,0,0.137,0.547
1,1,1,0,0.186,0.411
0,0,0,0,0.062,0.312
6,6,6,0,0.0,0.0
8,8,8,0,0.0,0.0
3,3,3,0,0.25,0.5
0,0,0,0,-0.057,0.727
0,0,0,0,0.006,0.376
2,2,2,0,0.059,0.775
0,0,0,0,-0.05,0.4
3,3,3,0,0.1,1.0
0,0,0,0,0.0,0.3
2,2,2,0,-0.008,0.338
0,0,0,0,0.5,0.9
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,-0.045,0.29
0,0,0,0,-0.35,0.5
0,0,0,0,-0.367,0.444
0,0,0,0,0.5,0.889
1,1,1,0,0.433,0.75
3,3,3,0,0.0,0.0
1,1,1,0,0.071,0.357
0,0,0,0,0.244,0.694
1,1,1,0,0.317,0.489
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.125
0,0,0,0,0.0,0.0
0,0,0,0,-0.5,0.55
2,2,2,0,0.438,0.492
1,1,1,0,0.3,0.442
15,15,15,0,-0.75,0.75
0,0,0,0,0.45,0.6
0,0,0,0,0.0,0.4
0,0,0,0,0.7,0.6
1,1,1,0,0.133,0.523
0,0,0,0,0.143,0.318
1,1,1,0,-0.067,0.446
1,1,1,0,0.0,0.556
1,1,1,0,-0.05,0.05
1,1,1,0,0.25,0.75
0,0,0,0,0.089,0.4
0,0,0,0,0.4,0.8
1,1,1,0,0.8,0.4
5,5,5,0,0.111,0.222
3,3,3,0,0.233,0.678
0,0,0,0,-0.025,0.2
2,2,2,0,0.0,0.0
1,1,1,0,-0.1,0.1
2,2,2,0,-0.188,0.5
0,0,0,0,0.275,0.525
14,14,14,0,-0.075,0.05
0,0,0,0,-0.196,0.433
0,0,0,0,-0.317,0.3
0,0,0,0,-0.017,0.183
0,0,0,0,-0.3,0.95
1,1,1,0,-0.7,0.85
0,0,0,0,0.0,0.0
0,0,0,0,0.5,0.7
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.5
0,0,0,0,-0.24,0.377
0,0,0,0,-0.188,0.5
2,2,2,0,-0.0,0.675
1,1,1,0,0.0,0.1
2,2,2,0,-0.35,0.375
6,6,6,0,0.136,0.5
"","","",0,0.0,0.775
0,0,0,0,-0.625,1.0
0,0,0,0,-0.05,0.4
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.3
0,0,0,0,0.217,0.617
0,0,0,0,0.0,0.5
0,0,0,0,0.0,0.4
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.3
0,0,0,0,0.136,0.455
4,4,4,0,0.0,0.3
0,0,0,0,0.6,0.95
1,1,1,0,0.25,0.5
0,0,0,0,-0.025,0.35
2,2,2,0,-0.138,0.562
0,0,0,0,0.42,0.61
0,0,0,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,-0.056,0.519
0,0,0,0,0.5,0.889
2,2,2,0,0.225,0.388
0,0,0,0,0.5,0.5
3,3,3,0,-0.2,0.3
0,0,0,0,-0.017,0.45
0,0,0,0,0.079,0.218
0,0,0,0,0.0,0.0
0,0,0,0,-0.05,0.85
0,0,0,0,0.0,0.0
1,1,1,0,0.445,0.518
0,0,0,0,0.0,0.0
"","","",0,0.0,0.0
0,0,0,0,0.0,0.1
0,0,0,0,0.1,0.2
"","","",0,0.0,0.0
3,3,3,0,0.0,0.0
7,7,7,0,0.577,0.66
0,0,0,0,0.119,0.588
0,0,0,0,0.333,0.5
1,1,1,0,0.25,0.25
