,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2021-04-08 16:00:00,687.969970703125,688.7346801757812,687.6099853515625,687.6599731445312,4,0,0
1,2021-04-08 16:01:00,687.780029296875,688.0399780273438,687.5900268554688,687.6500244140625,44960,0,0
2,2021-04-08 16:02:00,687.841796875,687.841796875,686.8800048828125,686.931396484375,50532,0,0
3,2021-04-08 16:03:00,686.9600219726562,686.9799194335938,686.3101196289062,686.4830932617188,30190,0,0
4,2021-04-08 16:04:00,686.489990234375,686.5,685.9500122070312,686.343017578125,46535,0,0
5,2021-04-08 16:05:00,686.1893920898438,686.4500122070312,686.0,686.3400268554688,21756,0,0
6,2021-04-08 16:06:00,686.0900268554688,686.3400268554688,686.0,686.2650146484375,20991,0,0
7,2021-04-08 16:07:00,686.2449951171875,686.4998779296875,685.2999877929688,685.5966186523438,52204,0,0
8,2021-04-08 16:08:00,685.626220703125,685.75,684.7310180664062,685.1699829101562,50289,0,0
9,2021-04-08 16:09:00,685.1699829101562,685.4199829101562,685.0999755859375,685.4099731445312,29344,0,0
10,2021-04-08 16:10:00,685.47998046875,685.9400024414062,685.47998046875,685.8900146484375,34922,0,0
11,2021-04-08 16:11:00,685.8400268554688,685.9000244140625,685.1599731445312,685.469970703125,29389,0,0
12,2021-04-08 16:12:00,685.47998046875,685.5709228515625,684.3800048828125,685.3300170898438,42812,0,0
13,2021-04-08 16:13:00,685.2899780273438,685.5499877929688,685.280029296875,685.4743041992188,17592,0,0
14,2021-04-08 16:14:00,685.6099853515625,685.9500122070312,685.2999877929688,685.8529052734375,31902,0,0
15,2021-04-08 16:15:00,685.881591796875,686.5399780273438,685.7808227539062,686.5,64806,0,0
16,2021-04-08 16:16:00,686.5499877929688,686.760009765625,686.030029296875,686.5280151367188,44170,0,0
17,2021-04-08 16:17:00,686.6697998046875,686.6799926757812,686.1099853515625,686.280029296875,23034,0,0
18,2021-04-08 16:18:00,686.4498291015625,686.75,686.25,686.677978515625,21495,0,0
19,2021-04-08 16:19:00,686.72998046875,686.72998046875,686.3699951171875,686.4400024414062,18858,0,0
20,2021-04-08 16:20:00,686.4525756835938,687.1199951171875,686.2999877929688,686.7861938476562,45298,0,0
