id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text
0,False,5,0,34,0,,7704,399,7594,,[],[],en,2021-04-07 17:37:25,,"RT @bennedose: Yes but all these meat eaters had the digestive system of goats and had to cook meat to swallow it. Before that it was nuts,…"
1,True,0,0,12,0,,1527,10,104,,[],[],es,2021-04-07 17:37:26,,@dion_dioniss @FranciscoMlg_ @carlos_castillo @MartaOfelia4 @aprobandomates @agvBruceAdams @Foulkesy1 @gcodinad ...… https://t.co/F7jtD5Mxtm
2,False,0,0,165,10,,530,160,1646,,[],[],en,2021-04-07 17:37:26,,@Fogdo @Tesla The future is here.
3,False,206,0,2693,1,,11446,3533,24043,In my own world,[],[],en,2021-04-07 17:37:27,,RT @xeedadyluv: Good morning fam🥺. This is my hustle 🥺 help me retweet abeg my customers might be on your timeline . Location Kano. Delivery n…
4,True,0,0,965,1,,24614,1471,92654,,[],[],fr,2021-04-07 17:37:28,,"Frankfurter Allgemeine Zeitung : L’automobile électrique turque défie Tesla, Volkswagen et d'autres marques de voit… https://t.co/y5oXuEMMhO"
5,False,0,0,35,0,,251,378,481,,[],[],en,2021-04-07 17:37:29,,"Ummm, you forgot never.... https://t.co/d4EWdZzC3g"
6,False,2,0,1047,1,,25774,3169,2098,"Lagos, Nigeria",[],[],en,2021-04-07 17:37:30,,"RT @Callme_Racheal: Please kindly help retweet my hustle if it comes across your timeline 🙏.. Men quality packet shirts available for #3,500…"
7,False,406,0,536,3,,52624,527,6038,Anywhere the *dollar* takes me,[],[],en,2021-04-07 17:37:32,,RT @cufdas: lmao nobody driving a tesla in nigeria is doing it for the environment
